bigram,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21
financial transactions,483,57,6,0.16666666666666666,0.05555555555555555,29.58485793322325,-2.9385994553358565,66.99836132682066,70.88650231387975,9.71319558717848,14.883120588620795,-1.957417755906793,0.09511270644847608,0.012255139578857613
ultimate unity,179,309,6,0.09090909090909093,0.3333333333333333,26.115971751511093,-2.795859283219775,48.65534286195591,49.94756844097,8.706686175010363,13.876611176452675,-3.84070058281591,0.01900114624264776,0.032352211135884934
national movement,1907,954,6,0.030303030303030307,0.01492537313432836,8.420991398394108,-5.31841727609021,7.998586911051658,8.043637007582397,3.6670303958607273,8.836955397303038,-3.1292311577351493,0.005755117890675949,0.0028888028680161817
military performance,1252,1245,6,0.022222222222222227,0.0196078431372549,9.167240269482138,-5.12297175396686,8.747181867564073,8.795151129706655,3.890016106290933,9.059941107733243,-2.9373812996080964,0.004471203585658929,0.004446332152841234
cognitive activity,665,658,6,0.03448275862068965,0.03448275862068965,15.512889824807644,-4.212699025132603,17.300872106323236,17.463901389706002,5.722810676055201,10.892735677497514,-2.6708813735521133,0.008863515995329136,0.008771066043942101
congressional power,169,2600,6,0.016666666666666666,0.2,15.441254898905756,-5.2714630279043755,17.092504254238747,17.420403119697262,5.7167896359809935,10.886714637423305,-3.705864025820336,0.002258502452297782,0.033611114323491884
social adjustment,5779,140,6,0.2,0.008695652173913044,12.327903464436533,-6.36413465500805,12.344398236794778,12.642069173499026,4.836077808658426,10.006002810100737,-3.6657393796736217,0.03959769801547137,0.0010008172688452737
elderly persons,399,597,6,0.05263157894736842,0.07142857142857142,18.619161166250702,-3.8073549220576046,23.57588890042314,23.877175100423106,6.600132922691842,11.770057924134154,-3.2138632830446565,0.009846664453783896,0.014659835742181547
national policies,1907,725,6,0.03333333333333333,0.01492537313432836,9.747834250330923,-5.19858146006538,9.354981487813284,9.416569976181833,4.0630386669639424,9.232963668406251,-2.9500493209458623,0.007713052227201256,0.002948233756073956
able children,30,2451,6,0.016666666666666666,0.3333333333333333,24.277016080915928,-5.113742166049188,39.441091325670506,43.27274705726825,8.295919615703635,13.46584461714595,-2.4289729758439482,0.0024342134024273702,0.16603070188525978
